kierunek,semestr,kod_pracowni,kategoria,nazwa_przedmiotu,prowadzacy
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",4,RZ2,Plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",4,RZ3,Plastyczne,Pracownia Rzeźby i Współistnienia,Zofia Kwasieborska-Keller
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",4,GA,Plastyczne,Gościnna Pracownia Artystyczna (lub spoza Wydziału Wzornictwa),…
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,E,Inne,Ergonomia,Kamil Kowalski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,MS,Projektowe,Pracownia Projektowania Społecznego,prof. Michał Stefanowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,JP,Projektowe,Pracownia Projektowania Kontekstualnego,prof. Jerzy Porębski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,GN,Projektowe,Pracownia Projektowania Strategii Ekologicznych,prof. Grzegorz Niwiński
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,DZ,Projektowe,Pracownia Projektowania Krytycznego,dr hab. Daniel Zieliński
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,BP,Projektowe,Pracownia Projektowania dla Nowego Przemysłu,prof. Bartosz Piotrowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,PG,Projektowe,Pracownia Projektowania Przestrzeni Publicznej,dr Paweł Grobelny
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,AF,Projektowe,Pracownia Projektowania Typografii,prof. Artur Frankowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,MK,Projektowe,Pracownia Projektowania Opakowań i Marek,dr hab. Maciej Konopka
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,BM,Projektowe,Pracownia Projektowania Ceramiki,dr Bartek Mejor
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,PJ,Projektowe,Eksperymentalna Pracownia Drewna,dr Paweł Jasiewicz
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,G,Projektowe,Gościnna Pracownia Projektowa,…
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,M1,Plastyczne,Pracownia Malarstwa i Rysunku,dr Mikołaj Chylak
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,RZ1,Plastyczne,Kompozycja Brył i Płaszczyzn,"dr Antonina Konopelska, dr Paweł Mysera …"
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,RZ2,Plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,RZ3,Plastyczne,Pracownia Rzeźby i Współistnienia,Zofia Kwasieborska-Keller
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",5,GA,Plastyczne,Gościnna Pracownia Artystyczna (lub spoza Wydziału Wzornictwa),…
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,MS,Projektowe,Pracownia Projektowania Społecznego,prof. Michał Stefanowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,JP,Projektowe,Pracownia Projektowania Kontekstualnego,prof. Jerzy Porębski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,GN,Projektowe,Pracownia Projektowania Strategii Ekologicznych,prof. Grzegorz Niwiński
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,DZ,Projektowe,Pracownia Projektowania Krytycznego,dr hab. Daniel Zieliński
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,BP,Projektowe,Pracownia Projektowania dla Nowego Przemysłu,prof. Bartosz Piotrowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,PG,Projektowe,Pracownia Projektowania Przestrzeni Publicznej,dr Paweł Grobelny
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,AF,Projektowe,Pracownia Projektowania Typografii,prof. Artur Frankowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,MK,Projektowe,Pracownia Projektowania Opakowań i Marek,dr hab. Maciej Konopka
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,BM,Projektowe,Pracownia Projektowania Ceramiki,dr Bartek Mejor
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,PJ,Projektowe,Eksperymentalna Pracownia Drewna,dr Paweł Jasiewicz
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,G,Projektowe,Gościnna Pracownia Projektowa,…
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,M1,Plastyczne,Pracownia Malarstwa i Rysunku,dr Mikołaj Chylak
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,RZ1,Plastyczne,Kompozycja Brył i Płaszczyzn,"dr Antonina Konopelska, dr Paweł Mysera …"
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,RZ2,Plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,RZ3,Plastyczne,Pracownia Rzeźby i Współistnienia,Zofia Kwasieborska-Keller
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",6,GA,Plastyczne,Gościnna Pracownia Artystyczna (lub spoza Wydziału Wzornictwa),…
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,MS,Projektowe,Pracownia Projektowania Społecznego,prof. Michał Stefanowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,JP,Projektowe,Pracownia Projektowania Kontekstualnego,prof. Jerzy Porębski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,GN,Projektowe,Pracownia Projektowania Strategii Ekologicznych,prof. Grzegorz Niwiński
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,DZ,Projektowe,Pracownia Projektowania Krytycznego,dr hab. Daniel Zieliński
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,BP,Projektowe,Pracownia Projektowania dla Nowego Przemysłu,prof. Bartosz Piotrowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,PG,Projektowe,Pracownia Projektowania Przestrzeni Publicznej,dr Paweł Grobelny
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,AF,Projektowe,Pracownia Projektowania Typografii,prof. Artur Frankowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,MK,Projektowe,Pracownia Projektowania Opakowań i Marek,dr hab. Maciej Konopka
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,BM,Projektowe,Pracownia Projektowania Ceramiki,dr Bartek Mejor
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,PJ,Projektowe,Eksperymentalna Pracownia Drewna,dr Paweł Jasiewicz
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",7,G,Projektowe,Gościnna Pracownia Projektowa,…
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,MS,Projektowe,dyplom licencjacki,prof. Michał Stefanowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,JP,Projektowe,dyplom licencjacki,prof. Jerzy Porębski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,GN,Projektowe,dyplom licencjacki,prof. Grzegorz Niwiński
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,DZ,Projektowe,dyplom licencjacki,dr hab. Daniel Zieliński
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,BP,Projektowe,dyplom licencjacki,prof. Bartosz Piotrowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,PG,Projektowe,dyplom licencjacki,dr Paweł Grobelny
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,AF,Projektowe,dyplom licencjacki,prof. Artur Frankowski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,MK,Projektowe,dyplom licencjacki,dr hab. Maciej Konopka
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,BM,Projektowe,dyplom licencjacki,dr Bartek Mejor
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,PJ,Projektowe,dyplom licencjacki,dr Paweł Jasiewicz
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,JB,Projektowe,dyplom licencjacki,dr Jan Buczek
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,WM,Projektowe,dyplom licencjacki,prof. Wojciech Małolepszy
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,MMU,Projektowe,dyplom licencjacki,dr Magdalena Małczyńska-Umeda
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,DG,Projektowe,dyplom licencjacki,dr Dominik Glaros
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,RP,Projektowe,dyplom licencjacki,dr Robert Pludra
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,JM,Projektowe,dyplom licencjacki,dr Jakub Marzoch
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,JJ,Projektowe,dyplom licencjacki,dr Jakub Jezierski
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,ZŁ,Projektowe,dyplom licencjacki,dr Zuzanna Łąpieś
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,MS2,Projektowe,dyplom licencjacki,dr Maciej Stefański
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,MC,Plastyczne,aneks artystyczny do dyplomu,dr Mikołaj Chylak
"Projektowanie produktu, przestrzeni, przekazu (I stopnia)",L,AK,Plastyczne,aneks artystyczny do dyplomu,dr Antonina Konopelska
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Warsztaty projektowe,[różni prowadzący]
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Pracownia Projektowania Interdyscyplinarnego,prof. Jarosław Kozakiewicz
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Pracownia Projektowania Społecznego,prof. Michał Stefanowski
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Pracownia Projektowania Kontekstualnego,prof. Jerzy Porębski
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Pracownia Projektowania Strategii Ekologicznych,prof. Grzegorz Niwiński
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Pracownia Projektowania Krytycznego,dr hab. Daniel Zieliński
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Pracownia Projektowania dla Nowego Przemysłu,prof. Bartosz Piotrowski
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Pracownia Projektowania Przestrzeni Publicznej,dr Paweł Grobelny
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Pracownia Projektowania Typografii,prof. Artur Frankowski
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Pracownia Projektowania Opakowań i Marek,dr hab. Maciej Konopka
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Pracownia Projektowania Ceramiki,dr Bartek Mejor
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Eksperymentalna Pracownia Drewna,dr Paweł Jasiewicz
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Gościnna Pracownia Projektowa,…
Projektowanie i badania (II stopnia),SM1,MWP,projektowe,Zarządzanie Designem i Budowanie Marki,dr Karolina Dudek
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Platformy badawcze,[różni prowadzący]
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Pracownia Projektowania Interdyscyplinarnego,prof. Jarosław Kozakiewicz
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Pracownia Projektowania Społecznego,prof. Michał Stefanowski
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Pracownia Projektowania Kontekstualnego,prof. Jerzy Porębski
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Pracownia Projektowania Strategii Ekologicznych,prof. Grzegorz Niwiński
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Pracownia Projektowania Krytycznego,dr hab. Daniel Zieliński
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Pracownia Projektowania dla Nowego Przemysłu,prof. Bartosz Piotrowski
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Pracownia Projektowania Przestrzeni Publicznej,dr Paweł Grobelny
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Pracownia Projektowania Typografii,prof. Artur Frankowski
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Pracownia Projektowania Opakowań i Marek,dr hab. Maciej Konopka
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Pracownia Projektowania Ceramiki,dr Bartek Mejor
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Eksperymentalna Pracownia Drewna,dr Paweł Jasiewicz
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Gościnna Pracownia Projektowa,…
Projektowanie i badania (II stopnia),SM2,MWP,projektowe,Zarządzanie Designem i Budowanie Marki,dr Karolina Dudek
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,prof. Jarosław Kozakiewicz
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,prof. Michał Stefanowski
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,prof. Jerzy Porębski
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,prof. Grzegorz Niwiński
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr hab. Daniel Zieliński
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,prof. Bartosz Piotrowski
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Paweł Grobelny
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,prof. Artur Frankowski
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr hab. Maciej Konopka
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Bartek Mejor
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Paweł Jasiewicz
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Jan Buczek
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,prof. Wojciech Małolepszy
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Magdalena Małczyńska-Umeda
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Dominik Glaros
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Robert Pludra
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Jakub Marzoch
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Jakub Jezierski
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Zuzanna Łąpieś
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,pracownia dyplomowa,dr Maciej Stefański
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,Pracownia Malarstwa i Rysunku,dr Mikołaj Chylak
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,Kompozycja Brył i Płaszczyzn,"dr Antonina Konopelska, dr Paweł Mysera …"
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,Pracownia Rzeźby i Współistnienia,Zofia Kwasieborska-Keller
Projektowanie i badania (II stopnia),SM3,MWP,projektowe,Gościnna Pracownia Artystyczna (lub spoza Wydziału Wzornictwa),…
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,prof. Jarosław Kozakiewicz
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,prof. Michał Stefanowski
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,prof. Jerzy Porębski
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,prof. Grzegorz Niwiński
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr hab. Daniel Zieliński
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,prof. Bartosz Piotrowski
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Paweł Grobelny
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,prof. Artur Frankowski
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr hab. Maciej Konopka
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Bartek Mejor
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Paweł Jasiewicz
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Jan Buczek
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,prof. Wojciech Małolepszy
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Magdalena Małczyńska-Umeda
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Dominik Glaros
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Robert Pludra
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Jakub Marzoch
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Jakub Jezierski
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Zuzanna Łąpieś
Projektowanie i badania (II stopnia),M,MWP,projektowe,dyplom magisterski,dr Maciej Stefański
Projektowanie i badania (II stopnia),M,MWP,projektowe,aneks artystyczny do dyplomu,dr Mikołaj Chylak
Projektowanie i badania (II stopnia),M,MWP,projektowe,aneks artystyczny do dyplomu,dr Antonina Konopelska
Projektowanie i badania (II stopnia),M,MWP,projektowe,aneks artystyczny do dyplomu,prof. Jarosław Kozakiewicz
Projektowanie ubioru i jego konteksty (I stopnia),1,PU1,projektowe,Pracownia Podstaw Projektowania Ubioru 1,Marcel Sommer
Projektowanie ubioru i jego konteksty (I stopnia),1,MAT1,projektowe,Projektowanie Materiałów 1,dr Magdalena Komar
Projektowanie ubioru i jego konteksty (I stopnia),1,GM1,projektowe,Projektowanie Graficzne 1,dr Dominika Raczkowska
Projektowanie ubioru i jego konteksty (I stopnia),1,RM1,plastyczne,Rysunek 1,dr hab. Agnieszka Rożnowska
Projektowanie ubioru i jego konteksty (I stopnia),1,RZ2,plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
Projektowanie ubioru i jego konteksty (I stopnia),2,PU1,projektowe,Pracownia Podstaw Projektowania Ubioru 1,Marcel Sommer
Projektowanie ubioru i jego konteksty (I stopnia),2,MAT1,projektowe,Projektowanie Materiałów 1,dr Magdalena Komar
Projektowanie ubioru i jego konteksty (I stopnia),2,GM1,projektowe,Projektowanie Graficzne 1,dr Dominika Raczkowska
Projektowanie ubioru i jego konteksty (I stopnia),2,RM1,plastyczne,Rysunek 1,dr hab. Agnieszka Rożnowska
Projektowanie ubioru i jego konteksty (I stopnia),2,RZ2,plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
Projektowanie ubioru i jego konteksty (I stopnia),3,PU2,projektowe,Pracownia Podstaw Projektowania Ubioru 2,Zuzanna Srebrna
Projektowanie ubioru i jego konteksty (I stopnia),3,MAT2,projektowe,Projektowanie Materiałów 2,dr Magdalena Komar
Projektowanie ubioru i jego konteksty (I stopnia),3,GM2,projektowe,Projektowanie Graficzne 2,dr Dominika Raczkowska
Projektowanie ubioru i jego konteksty (I stopnia),3,RM2,plastyczne,Rysunek 2,dr hab. Agnieszka Rożnowska
Projektowanie ubioru i jego konteksty (I stopnia),3,RZ2,plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
Projektowanie ubioru i jego konteksty (I stopnia),3,GA,plastyczne,Gościnna Pracownia Artystyczna (lub spoza Wydziału Wzornictwa),…
Projektowanie ubioru i jego konteksty (I stopnia),4,PU2,projektowe,Pracownia Podstaw Projektowania Ubioru 2,Zuzanna Srebrna
Projektowanie ubioru i jego konteksty (I stopnia),4,MAT2,projektowe,Projektowanie Materiałów 2,dr Magdalena Komar
Projektowanie ubioru i jego konteksty (I stopnia),4,GM2,projektowe,Projektowanie Graficzne 2,dr Dominika Raczkowska
Projektowanie ubioru i jego konteksty (I stopnia),4,RM2,plastyczne,Rysunek 2,dr hab. Agnieszka Rożnowska
Projektowanie ubioru i jego konteksty (I stopnia),4,RZ2,plastyczne,Pracownia Rzeźby i Multimediów,dr Cezary Koczwarski
Projektowanie ubioru i jego konteksty (I stopnia),4,GA,plastyczne,Gościnna Pracownia Artystyczna (lub spoza Wydziału Wzornictwa),…
Projektowanie ubioru i jego konteksty (I stopnia),5,PU3,projektowe,Pracownia Podstaw Projektowania Ubioru 3,Manon Kündig
Projektowanie ubioru i jego konteksty (I stopnia),5,MAT3,projektowe,Projektowanie Materiałów 3,dr Magdalena Komar
Projektowanie ubioru i jego konteksty (I stopnia),5,GA,plastyczne,Gościnna Pracownia Artystyczna (lub spoza Wydziału Wzornictwa),…
Projektowanie ubioru i jego konteksty (I stopnia),6,PU3,projektowe,Pracownia Podstaw Projektowania Ubioru 3,Manon Kündig
Projektowanie ubioru i jego konteksty (I stopnia),6,MAT3,projektowe,Projektowanie Materiałów 3,dr Magdalena Komar
Projektowanie ubioru i jego konteksty (I stopnia),6,GA,plastyczne,Gościnna Pracownia Artystyczna (lub spoza Wydziału Wzornictwa),…
Projektowanie ubioru i jego konteksty (I stopnia),7,MK,projektowe,pracownia dyplomowa,Manon Kündig
Projektowanie ubioru i jego konteksty (I stopnia),7,ZS,projektowe,pracownia dyplomowa,Zuzanna Srebrna
Projektowanie ubioru i jego konteksty (I stopnia),7,MS,projektowe,pracownia dyplomowa,Marcel Sommer
Projektowanie ubioru i jego konteksty (I stopnia),7,KS,projektowe,pracownia dyplomowa,dr Krzysztof Skorupka
Projektowanie ubioru i jego konteksty (I stopnia),L,MK,projektowe,dyplom licencjacki,Manon Kündig
Projektowanie ubioru i jego konteksty (I stopnia),L,ZS,projektowe,dyplom licencjacki,Zuzanna Srebrna
Projektowanie ubioru i jego konteksty (I stopnia),L,MS,projektowe,dyplom licencjacki,Marcel Sommer
Projektowanie ubioru i jego konteksty (I stopnia),L,KS,projektowe,dyplom licencjacki,dr Krzysztof Skorupka
