kierunek,semestr,kod_pracowni,kategoria,nazwa_przedmiotu,prowadzacy
PIB,SM2,BM,Projektowe,Pracownia Projektowania Ceramiki,dr Bartłomiej Mejor
PIB,SM2,MK,Projektowe,Pracownia Projektowania Opakowań i Marek,dr hab. Maciej Konopka prof. ASP
PIB,SM2,JK,Projektowe,Pracownia Projektowania Interdyscyplinarnego,dr hab. Jarosław Kozakiewicz prof. ASP
PIB,SM2,PJ,Projektowe,Eksperymentalna Pracownia Drewna,dr Paweł Jasiewicz
PIB,SM2,BP,Projektowe,Pracownia Projektowania dla Nowego Przemysłu,prof. Bartosz Piotrowski
PIB,SM3,MWP,Projektowe,Warsztaty Projektowe,różni prowadzący
PIB,SM3,MPB,Projektowe,Platformy Badawcze,różni prowadzący
PIB,SM3,MS,Projektowe,Pracownia Projektowania Społecznego,prof. Michał Stefanowski
PIB,SM3,JP,Projektowe,Pracownia Projektowania Kontekstualnego,prof. Jerzy Porębski
PIB,SM3,GN,Projektowe,Pracownia Projektowania Strategii Ekologicznych,prof. Grzegorz Niwiński
PIB,SM3,DZ,Projektowe,Pracownia Projektowania Krytycznego,dr hab. Daniel Zieliński
PIB,SM3,PG,Projektowe,Pracownia Projektowania Przestrzeni Publicznej,dr Paweł Grobelny
PIB,SM3,AF,Projektowe,Pracownia Projektowania Typografii,prof. Artur Frankowski
PIB,SM3,BM,Projektowe,Pracownia Projektowania Ceramiki,dr Bartłomiej Mejor
PIB,SM3,MK,Projektowe,Pracownia Projektowania Opakowań i Marek,dr hab. Maciej Konopka prof. ASP
PIB,SM3,JK,Projektowe,Pracownia Projektowania Interdyscyplinarnego,dr hab. Jarosław Kozakiewicz prof. ASP
PIB,SM3,PJ,Projektowe,Eksperymentalna Pracownia Drewna,dr Paweł Jasiewicz
PIB,SM3,BP,Projektowe,Pracownia Projektowania dla Nowego Przemysłu,prof. Bartosz Piotrowski
PIB,M,MWP,Projektowe,Warsztaty Projektowe (magisterka),różni prowadzący
PIB,M,MPB,Projektowe,Platformy Badawcze (magisterka),różni prowadzący
